book,chapter,total_classes,dialog_classes,fx_classes,all_classes,risk_flag
,public\books\efekty.html,27,dialog,fx-neon fx-scanline corrupt fx-noise glitching fx-outline halo fx-flicker fx-gradient fx-underline fx-wave echo-ghost alarm-emote fx-glitch,title log dialog text textV fx-neon datastream fx-scanline corrupt fx-noise glitching fx-outline is-lit halo fx-flicker fx-gradient fx-underline fx-wave echo-ghost alarm-emote fx-glitch glitching-char neon-char bright flickering flickering-off noising-text,medium-fx-density
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_00_PODPOROVANO.html,39,dialog dialog-line dialogT dialogR dialogPassenger dialogE dialogBot,fx-scanline fx-outline bios-warning fx-uppercase-wide fx-flicker fx-glitch,kp-chapter kp-supported kp-chapter--00 kp-terminal log fx-scanline datastream dialog dialog-line kp-sensor-denial title kp-title fx-outline is-lit manifest kp-axiom text dialogT bios-warning dialogR hollow dialogPassenger fx-uppercase-wide fx-flicker dialogE dialogBot kp-shaft kp-falling-tool kp-clock kp-manual-witness kp-conflict kp-black-screen kp-old-line kp-synthoma-mark fx-glitch kp-final-voice kp-time-zero choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_01_OZNAMENI.html,46,dialogVoice dialog-line dialog dialogE dialogT dialogR dialogPassenger dialogBuilding dialogSobotka dialogBus,fx-uppercase-wide fx-scanline bios-warning fx-flicker,kp-chapter kp-chapter--01 title kp-title fx-uppercase-wide kp-axiom kp-support-expired dialogVoice dialog-line text kp-consent kp-terminal kp-terminal--danger log fx-scanline datastream dialog dialogE dialogT dialogR kp-freefall kp-drop-meter kp-terminal--warning bios-warning dialogPassenger kp-local-boot kp-building-chorus dialogBuilding kp-tova-protocol kp-glass-wall dialogSobotka kp-stairwell kp-city-grid kp-contradiction kp-route kp-route--trap dialogBus kp-bus-follow kp-preserved-count kp-family-signal fx-flicker kp-old-line kp-whisper kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_02_VOLNY_PAD.html,40,dialogBus dialog-line dialogT dialogCivil dialogSystem dialogMilo dialogVoice dialogBoris,fx-uppercase-wide,kp-chapter kp-chapter--02 title kp-title fx-uppercase-wide kp-axiom text kp-bus-shadow dialogBus dialog-line dialogT dialogCivil dialogSystem kp-crossing kp-city-fall kp-terminal kp-terminal--warning kp-bridge kp-gap-meter kp-milo-entry kp-milo-mark dialogMilo kp-directive kp-old-line kp-old-line--critical kp-terminal--legacy kp-tova-fragment kp-foam kp-tunnel dialogVoice kp-smartband dialogBoris kp-terminal--danger kp-ticket-storm kp-user-1024 kp-id kp-wait kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_03_PODPORA.html,56,dialogSystem dialog-line dialogVoice dialogBoris dialogT dialogMilo dialogCivil dialogSara dialogMina dialogVanta,,kp-chapter kp-chapter--support kp-chapter--03 title kp-title kp-axiom kp-user-1024 kp-id kp-wait kp-call-wave dialogSystem dialog-line text dialogVoice dialogBoris dialogT kp-ticket-storm kp-count kp-inline-text--success kp-terminal kp-terminal--legacy kp-terminal--danger kp-terminal--paper dialogMilo kp-incident-grid kp-incident dialogCivil kp-support-desk kp-inline-text--danger kp-boris-history kp-manual-broadcast kp-n2-signal kp-audit kp-audit-meter kp-power-map kp-power-row kp-power-track kp-power-fill kp-power-fill--fuel-reserve kp-power-fill--support-lines kp-power-fill--crisis-control kp-archive-pulse kp-power-fill--clinical-archive kp-power-fill--legacy-archive kp-observer dialogSara kp-terminal--warning kp-training-loop kp-comfort-incursion kp-scent-haze kp-knock dialogMina dialogVanta kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_04_KOMFORTNI_ZONA.html,57,dialogSystem dialog-line dialogT dialogBoris dialogMilo dialogMina dialogVanta dialogVoice,,kp-chapter kp-chapter--comfort kp-chapter--04 title kp-title kp-axiom text kp-comfort-field dialogSystem dialog-line kp-chair-row kp-chair dialogT dialogBoris kp-restraint kp-scent-haze dialogMilo kp-wall kp-knock dialogMina kp-mina-room dialogVanta kp-terminal kp-terminal--vanta kp-vanta-suite kp-mirror-strip kp-profile-grid kp-profile-card kp-profile-card--tova kp-profile-card--mina kp-profile-card--vanta kp-profile-card--milo kp-workshop kp-agenda kp-terminal--comfort kp-neutral-reveal kp-legacy-window kp-legacy-figures dialogVoice kp-boundary-door kp-door-sequence kp-terminal--paper kp-guide-grid kp-guide kp-city-map kp-route-line kp-migration kp-region-row kp-clinical-node kp-packet-corrupt kp-terminal--warning kp-bus-card kp-road-split kp-road-bus kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_05_OBJIZDKA.html,47,dialogMilo dialog-line dialogBus dialogBoris dialogMina dialogVanta dialogT dialogSystem dialogCivil,fx-uppercase-wide fx-flicker,kp-chapter kp-chapter--detour kp-chapter--05 title kp-title kp-axiom text kp-route-drift kp-route-line kp-route-bus dialogMilo dialog-line dialogBus dialogBoris dialogMina dialogVanta dialogT dialogSystem kp-terminal kp-terminal--route kp-lag-panel kp-impact kp-injury-grid kp-injury-card kp-terminal--danger dialogCivil kp-terminal--paper kp-roundabout kp-work-zone kp-cones kp-cone kp-drill-pit kp-classification-grid kp-classification fx-uppercase-wide kp-yellow-word kp-city-vehicle kp-cyan-word kp-checklist kp-terminal--fragment kp-fragment kp-simple-route fx-flicker kp-red-word kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_06_PECE.html,56,dialogMina dialog-line dialogBoris dialogT dialogSystem dialogVanta dialogCare dialogMilo dialogBus dialogJuros dialogPatient,,kp-chapter kp-chapter--06 title kp-title kp-axiom text kp-hospital dialogMina dialog-line dialogBoris dialogT kp-uniform-light dialogSystem dialogVanta kp-terminal kp-terminal--care dialogCare dialogMilo kp-care-fog dialogBus kp-blue-line dialogJuros kp-terminal--danger kp-diagnosis kp-terminal--paper dialogPatient kp-bed-swarm kp-bed kp-bed--1 kp-bed--2 kp-bed--3 kp-bed--4 kp-terminal--warning kp-clinical-depth kp-life-support-grid kp-life-support kp-choice-core kp-choice-columns kp-choice-column kp-choice-column--continuity kp-choice-column--cut kp-countdown kp-manual-switch kp-cut kp-red-word kp-careline kp-flatline kp-terminal--death kp-death-list kp-death-name kp-open-doors kp-fragment kp-fragment-labels kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_07_ZASILKA.html,52,dialogLogistics dialog-line dialogJuros dialogT dialogVanta dialogBus dialogMina dialogBoris dialogMilo dialogWorker dialogSystem,,kp-chapter kp-chapter--07 title kp-title kp-axiom text kp-logistics-yard kp-drones kp-terminal dialogLogistics dialog-line dialogJuros dialogT dialogVanta dialogBus kp-terminal--warning dialogMina dialogBoris kp-weight-scan dialogMilo kp-label-grid kp-label-card kp-label-card--boris kp-label-card--mina kp-label-card--juros kp-label-card--tova kp-label-card--vanta kp-label-card--milo kp-conveyor kp-shrinkwrap dialogWorker kp-cold-store kp-label-card--consent kp-terminal--danger kp-crusher kp-crusher-core kp-milo-damage kp-damage-part is-critical kp-fork-arms kp-control-tower kp-priority-stack kp-priority-line kp-terminal--green kp-fragment kp-countdown kp-route-void kp-terminal--death dialogSystem kp-final-line choice choice-link,
,public\books\SYNTHOMA-KONEC_PODPORY\SYNTHOMA_KONEC_PODPORY_08_DOMOV.html,58,dialogHome dialog-line dialogBus dialogSystem dialogT dialogJuros dialogMilo dialogVanta dialogMina dialogBoris dialogSara dialogResident dialogSecurity,,kp-chapter kp-chapter--home kp-chapter--08 title kp-title kp-axiom text kp-home-cluster kp-terminal dialogHome dialog-line dialogBus kp-terminal--danger dialogSystem dialogT dialogJuros dialogMilo dialogVanta kp-memory-video dialogMina kp-terminal--cyan kp-window-messages kp-window-message is-cyan is-danger kp-family-grid kp-family-card dialogBoris kp-old-house kp-terminal--cold dialogSara dialogResident kp-propaganda kp-perfect-home kp-profile-offer kp-leak-pulse dialogSecurity kp-terminal--green kp-tova-protocol kp-tova-rule kp-handprint kp-consent-grid kp-consent-card is-no is-wait kp-black-vans kp-anchor-road kp-core-home kp-door-choice kp-door-open kp-open-house kp-fragment kp-open-street kp-directive kp-drone-swarm kp-final-line choice choice-link,
